aX,aY,aZ,gX,gY,gZ
-0.028,-0.021,0.985,-15.625,26.917,12.817
-0.003,0.009,0.966,-17.090,26.489,15.320
0.020,0.042,0.955,-15.686,24.597,16.907
0.026,0.060,0.950,-13.245,22.095,18.066
0.014,0.072,0.947,-10.376,20.325,19.714
-0.010,0.068,0.937,-7.629,20.264,21.484
-0.037,0.061,0.921,-4.761,20.874,23.010
-0.070,0.053,0.911,-2.563,20.691,23.437
-0.097,0.034,0.910,-1.404,19.653,22.827
-0.104,0.019,0.920,-1.648,17.517,21.484
-0.096,0.019,0.939,-3.296,13.977,19.348
-0.097,0.014,0.947,-6.165,10.132,17.273
-0.092,0.009,0.954,-7.996,6.775,15.137
-0.076,-0.007,0.966,-8.667,3.418,11.963
-0.068,-0.022,0.980,-9.216,-0.549,9.399
-0.073,-0.040,0.991,-10.193,-2.808,7.935
-0.082,-0.057,0.995,-10.010,-3.052,7.690
-0.098,-0.071,0.997,-8.728,-2.136,7.935
-0.116,-0.088,1.001,-6.775,-0.488,8.606
-0.126,-0.101,1.006,-4.578,1.282,8.606
-0.133,-0.108,1.008,-3.601,2.014,7.935
-0.140,-0.157,1.008,-3.357,1.709,6.897
-0.126,-0.145,1.021,-2.136,1.648,3.174
-0.118,-0.163,1.022,-3.113,1.465,0.793
-0.106,-0.175,1.018,-5.310,1.038,-0.061
-0.089,-0.177,1.017,-6.226,0.549,-1.099
-0.083,-0.177,1.011,-7.568,-0.122,-0.916
-0.079,-0.171,1.001,-8.606,0.427,0.061
-0.083,-0.169,0.994,-8.667,2.563,2.197
-0.093,-0.164,0.983,-7.141,4.700,3.784
-0.099,-0.149,0.974,-4.395,7.507,5.188
-0.106,-0.141,0.967,-2.075,10.376,5.920
-0.104,-0.129,0.961,0.061,12.207,6.409
-0.095,-0.129,0.961,0.671,12.268,6.226
-0.085,-0.120,0.962,0.610,11.536,5.371
-0.081,-0.126,0.955,0.305,10.864,4.272
-0.069,-0.125,0.947,0.488,10.132,2.930
-0.059,-0.129,0.947,0.427,9.216,1.953
-0.057,-0.130,0.950,0.183,7.751,1.526
-0.057,-0.128,0.953,0.793,6.958,1.099

0.213,1.237,1.504,106.201,37.354,2.930
0.054,1.260,1.441,117.920,64.087,19.165
-0.217,1.059,1.209,115.723,95.337,36.011
-0.489,0.761,0.921,104.309,115.784,25.513
-0.689,0.460,0.664,87.708,103.027,-14.832
-0.832,0.135,0.449,64.026,61.890,-69.336
-0.977,-0.155,0.332,45.532,12.146,-130.371
-1.114,-0.500,0.188,40.405,-33.020,-178.223
-1.334,-0.979,-0.009,38.452,-48.218,-207.336
-1.568,-1.444,-0.227,46.875,-35.706,-229.309
-1.752,-1.926,-0.439,63.965,-4.883,-242.187
-1.793,-2.479,-0.624,80.566,29.419,-251.587
-1.638,-2.860,-0.682,101.685,52.856,-275.879
-1.265,-2.972,-0.491,121.643,65.491,-295.654
-0.583,-2.822,-0.250,138.977,73.914,-302.979
0.143,-2.500,-0.198,159.485,98.816,-306.641
0.674,-2.267,-0.356,145.630,136.414,-283.752
1.045,-2.129,-0.394,109.070,114.685,-247.009
1.285,-2.027,-0.109,85.999,4.639,-221.252
1.158,-1.997,0.339,61.401,-129.578,-198.608
0.838,-1.957,0.731,27.039,-216.980,-143.921
0.341,-1.823,0.997,-6.409,-231.018,-58.655
-0.238,-1.657,1.175,-36.255,-184.753,52.551
-0.718,-1.549,1.164,-47.546,-111.084,163.879
-1.098,-1.337,1.034,-50.537,-31.372,215.759
-1.198,-1.211,0.812,-61.584,28.564,237.793
-1.169,-1.162,0.511,-85.144,46.387,236.938
-1.137,-1.107,0.245,-119.446,32.166,223.022
-1.107,-1.003,0.046,-147.888,2.869,205.322
-1.071,-0.884,-0.059,-162.659,-26.550,183.960
-1.043,-0.788,-0.076,-167.419,-48.096,160.645
-0.984,-0.700,-0.038,-166.931,-62.805,142.273
-0.933,-0.616,0.046,-161.804,-69.519,130.005
-0.866,-0.542,0.147,-150.574,-68.481,118.591
-0.775,-0.484,0.252,-137.329,-61.768,107.971
-0.698,-0.480,0.334,-125.366,-56.091,100.830
-0.641,-0.501,0.411,-114.807,-52.979,95.703
-0.589,-0.508,0.498,-106.140,-49.072,89.661
-0.579,-0.513,0.549,-99.121,-43.579,83.252
-0.546,-0.478,0.622,-96.558,-30.823,79.834
-0.489,-0.405,0.692,-95.459,-27.527,77.942
-0.429,-0.323,0.760,-79.285,-23.499,77.087
-0.403,-0.254,0.807,-63.599,-17.334,74.524
