aX,aY,aZ,gX,gY,gZ
-0.117,0.233,0.748,-11.169,1.465,14.709
-0.083,0.195,0.815,-10.498,7.996,13.550
-0.058,0.184,0.881,-9.521,12.390,10.193
-0.047,0.190,0.952,-7.324,15.076,5.798
-0.031,0.220,0.990,-3.845,15.503,1.526
-0.029,0.270,1.047,-1.953,14.343,-0.977
-0.027,0.310,1.080,0.122,11.047,-1.160
-0.031,0.316,1.053,0.610,4.822,0.793
-0.028,0.322,1.008,-3.296,-0.183,4.089
-0.029,0.317,0.988,-6.836,-2.075,7.385
-0.025,0.302,1.005,-9.399,-1.160,9.094
-0.023,0.283,1.033,-9.399,0.427,9.155
-0.025,0.274,1.047,-7.629,0.732,7.935
-0.028,0.271,1.056,-5.432,0.671,5.615
-0.035,0.279,1.059,-2.991,0.366,3.113
-0.043,0.305,1.061,-0.916,-0.305,0.977
-0.052,0.330,1.070,1.282,-1.404,0.061
-0.059,0.342,1.063,1.648,-3.235,0.549
-0.064,0.333,1.048,0.977,-5.676,2.258
-0.069,0.318,1.014,-0.061,-8.240,4.272
-0.080,0.308,0.974,-1.343,-9.705,5.493
-0.085,0.294,0.946,-1.526,-8.545,6.104
-0.081,0.279,0.949,-1.099,-5.249,5.615
-0.076,0.271,0.969,0.244,-1.953,4.089
-0.070,0.271,0.991,2.197,0.549,2.075
-0.068,0.285,1.005,4.150,1.709,0.122
-0.074,0.308,1.006,5.676,1.343,-1.038
-0.084,0.326,0.993,6.531,-0.305,-1.404
-0.093,0.327,0.974,7.324,-1.221,-0.549
-0.096,0.319,0.965,7.141,-1.831,0.427
-0.098,0.310,0.956,6.531,-2.136,1.465
-0.100,0.297,0.939,5.554,-2.441,2.686
-0.100,0.281,0.919,4.761,-2.197,3.601
-0.100,0.267,0.906,3.296,-1.099,3.723
-0.098,0.257,0.892,2.502,0.610,3.540
-0.099,0.256,0.883,1.526,2.686,2.563
-0.097,0.256,0.892,1.038,4.944,1.953
-0.088,0.253,0.917,2.136,6.775,1.526
-0.076,0.252,0.935,4.028,7.446,0.732
-0.073,0.253,0.955,5.859,7.263,0.244
-0.068,0.255,0.964,6.958,6.470,0.000
-0.074,0.257,0.958,7.141,4.578,-0.122
-0.077,0.256,0.954,6.409,2.808,0.183
-0.080,0.258,0.939,5.005,0.732,0.854
-0.079,0.255,0.929,3.418,-0.671,1.465
-0.078,0.246,0.916,2.380,-0.977,1.953
-0.080,0.242,0.911,1.099,-0.732,2.258
-0.075,0.235,0.905,0.244,-0.244,2.075
-0.073,0.229,0.910,-0.793,0.977,1.648
-0.068,0.220,0.931,-0.854,2.197,1.038
-0.061,0.214,0.945,0.122,2.258,0.244
-0.056,0.222,0.957,1.221,1.587,-0.916
-0.054,0.223,0.974,2.686,0.793,-2.502
-0.052,0.232,0.985,5.127,-0.244,-4.639
-0.051,0.243,0.979,8.301,-1.526,-6.714
-0.053,0.260,0.976,10.986,-2.197,-8.545
-0.055,0.282,0.987,11.902,-2.502,-9.277
-0.066,0.305,0.998,10.071,-3.601,-8.423
-0.078,0.327,1.001,7.507,-5.249,-6.042
-0.091,0.330,0.999,5.249,-7.935,-2.625
-0.105,0.320,0.971,0.366,-11.230,1.038
-0.118,0.313,0.945,-4.517,-13.855,4.761
-0.124,0.295,0.919,-6.531,-14.954,7.629
-0.125,0.273,0.889,-7.507,-14.709,9.338
-0.120,0.254,0.879,-6.958,-12.634,9.155

-0.837,0.430,1.318,80.750,-42.053,-32.593
-0.856,0.506,1.289,85.327,-46.265,-31.311
-0.899,0.621,1.211,85.022,-50.232,-28.564
-0.913,0.760,1.088,78.186,-53.955,-22.583
-0.909,0.814,0.980,67.871,-55.481,-10.193
-0.886,0.783,0.852,47.974,-53.711,8.728
-0.839,0.696,0.750,27.039,-48.279,31.738
-0.844,0.567,0.703,12.573,-40.466,53.345
-0.827,0.456,0.657,5.188,-32.593,67.688
-0.761,0.350,0.639,3.723,-24.841,74.341
-0.684,0.290,0.614,10.071,-18.860,75.012
-0.620,0.266,0.595,18.738,-17.151,72.205
-0.569,0.226,0.562,27.588,-16.785,68.970
-0.559,0.199,0.445,30.640,-19.775,66.772
-0.548,0.222,0.293,27.222,-20.813,66.223
-0.545,0.255,0.153,22.705,-17.334,68.115
-0.536,0.258,0.052,17.212,-10.193,71.838
-0.514,0.227,-0.003,12.146,-0.793,77.271
-0.471,0.186,-0.037,7.385,9.644,82.825
-0.413,0.140,-0.061,3.967,19.409,86.853
-0.343,0.093,-0.066,2.014,27.283,89.478
-0.265,0.066,-0.057,-0.671,33.020,90.149
-0.166,0.090,0.013,-6.714,39.063,88.501
-0.087,0.136,0.129,-10.681,46.265,85.022
-0.028,0.178,0.223,-9.888,51.331,80.322
0.025,0.218,0.255,-4.578,52.490,76.172
0.079,0.252,0.234,0.610,52.185,74.219
0.129,0.262,0.180,2.563,53.955,74.524
0.172,0.266,0.125,1.526,57.800,77.393
0.201,0.257,0.105,-2.686,61.768,82.397
0.264,0.235,0.138,-11.963,65.369,89.233
0.336,0.182,0.202,-28.381,67.139,96.558
0.401,0.161,0.262,-47.791,66.223,103.699
0.448,0.118,0.291,-62.073,63.721,108.521
0.516,0.078,0.321,-71.106,62.683,108.459
0.562,0.010,0.342,-71.655,64.453,105.164
0.579,-0.033,0.365,-68.298,65.796,97.900
0.583,-0.020,0.386,-62.317,69.031,87.830
0.577,0.029,0.407,-53.772,73.608,78.308
0.614,0.111,0.425,-44.312,79.163,71.716
0.618,0.173,0.515,-34.851,84.167,68.787
0.641,0.188,0.688,-34.912,88.501,69.092
0.686,0.184,0.845,-53.833,87.646,72.327
0.759,0.174,0.965,-83.923,80.322,78.308
0.810,0.063,1.079,-109.131,71.289,83.374
0.820,-0.041,1.155,-128.479,64.270,81.055
0.835,-0.102,1.227,-138.123,59.692,71.167
0.833,-0.171,1.344,-130.493,57.129,55.664
0.809,-0.182,1.392,-116.760,51.636,36.682
0.750,-0.105,1.334,-103.699,42.175,20.081
0.721,0.020,1.287,-94.482,35.095,7.263
0.724,0.164,1.335,-90.454,34.424,-1.770
0.677,0.247,1.477,-88.074,34.424,-4.822
0.648,0.314,1.594,-88.684,30.090,-6.104
0.618,0.337,1.666,-94.177,22.827,-6.287
0.572,0.325,1.732,-108.215,17.944,-7.080
0.544,0.269,1.796,-124.329,18.433,-11.719
0.529,0.145,1.860,-128.479,18.127,-20.752
0.490,0.044,1.878,-122.131,13.977,-35.095
0.475,0.098,1.944,-111.023,7.874,-51.453
0.350,0.122,1.853,-93.262,-1.160,-66.223
0.318,0.298,1.817,-79.102,-6.042,-81.116
0.262,0.362,1.551,-60.730,-13.611,-90.027
0.198,0.420,1.743,-54.260,0.183,-93.994
0.010,0.453,1.939,-49.500,-1.282,-98.694
-0.071,0.502,2.035,-40.283,-17.334,-104.004
-0.187,0.505,2.077,-36.865,-32.166,-102.966
-0.282,0.511,2.123,-44.678,-43.274,-99.976
-0.326,0.542,2.156,-57.129,-52.490,-97.900
-0.359,0.594,2.150,-55.908,-62.195,-97.961
-0.411,0.653,2.053,-46.387,-74.890,-101.196
-0.453,0.726,1.866,-29.236,-88.135,-106.079
-0.516,0.834,1.637,-6.958,-95.520,-110.718
-0.618,0.953,1.431,21.057,-96.252,-112.427
-0.701,1.038,1.247,52.795,-91.125,-110.474
-0.734,1.059,1.133,80.139,-81.055,-104.553
-0.730,1.042,1.108,94.604,-67.810,-93.933
-0.707,0.964,1.109,96.252,-59.143,-79.102
-0.679,0.835,1.060,90.515,-57.800,-63.293
-0.629,0.708,0.989,82.092,-61.218,-48.828
-0.586,0.579,0.858,70.190,-65.491,-37.231
-0.543,0.511,0.745,55.176,-65.002,-28.442
-0.522,0.430,0.674,46.204,-63.110,-20.752
-0.478,0.345,0.595,45.715,-61.340,-16.113
-0.449,0.258,0.496,49.133,-60.364,-12.756
-0.452,0.222,0.379,52.856,-57.861,-11.230
-0.470,0.221,0.271,57.068,-52.124,-11.719
-0.469,0.225,0.201,61.584,-43.152,-12.634
-0.455,0.216,0.188,63.538,-31.189,-13.855
-0.437,0.206,0.208,60.791,-19.470,-13.611
-0.409,0.211,0.258,52.490,-9.521,-11.414
-0.373,0.211,0.340,41.687,-1.831,-7.935
-0.337,0.199,0.430,32.043,2.930,-4.272
-0.288,0.200,0.508,25.269,4.700,-1.953
-0.254,0.209,0.546,19.958,4.395,0.366
-0.235,0.212,0.548,16.785,2.197,3.540
-0.218,0.197,0.543,13.794,1.465,6.653
-0.204,0.188,0.535,8.423,2.258,8.484
-0.179,0.198,0.557,4.578,5.676,9.460
-0.149,0.201,0.636,2.014,12.085,9.277
-0.118,0.192,0.733,2.075,17.273,8.545
-0.084,0.176,0.814,1.648,19.470,7.568
-0.058,0.163,0.908,-2.441,20.020,6.714
-0.042,0.171,0.969,-10.010,17.273,6.042
-0.047,0.172,1.012,-15.259,10.986,5.737
-0.057,0.176,0.986,-19.775,3.906,4.944
-0.058,0.193,0.941,-24.170,-0.671,3.601
-0.087,0.203,0.907,-24.902,-2.869,3.296
-0.094,0.228,0.880,-21.240,-2.869,2.075
-0.106,0.246,0.887,-14.343,-0.183,0.183
-0.098,0.273,0.928,-8.057,5.249,-1.221
-0.090,0.294,0.990,-3.967,10.315,-1.892
-0.080,0.300,1.043,-2.563,12.695,-1.526
-0.073,0.293,1.096,-4.395,11.597,0.000
-0.064,0.269,1.121,-7.080,7.385,1.770
-0.066,0.246,1.112,-8.972,1.648,2.441
-0.076,0.238,1.078,-9.155,-3.479,1.831
-0.087,0.233,1.052,-7.629,-6.775,0.244
-0.092,0.225,1.028,-5.127,-8.850,-1.526

0.464,0.572,1.667,-80.872,22.949,-44.556
0.426,0.593,1.771,-74.707,20.020,-49.072
0.352,0.598,1.853,-64.087,6.409,-52.246
0.292,0.612,1.767,-58.899,-11.292,-52.856
0.210,0.568,1.647,-55.481,-24.048,-52.063
0.132,0.515,1.590,-55.664,-28.259,-48.950
0.093,0.455,1.528,-55.298,-28.381,-49.561
0.090,0.422,1.475,-47.363,-26.184,-54.382
0.091,0.404,1.456,-32.166,-20.386,-64.270
0.095,0.419,1.473,-16.357,-13.550,-76.416
0.078,0.467,1.487,-2.380,-8.301,-87.280
0.021,0.540,1.499,9.888,-5.676,-95.459
-0.047,0.579,1.516,18.250,-5.493,-98.083
-0.105,0.590,1.521,20.935,-8.484,-95.337
-0.165,0.588,1.514,19.775,-14.221,-89.539
-0.214,0.591,1.483,18.250,-22.400,-82.764
-0.253,0.588,1.413,17.639,-30.945,-75.500
-0.273,0.571,1.326,19.348,-38.391,-68.115
-0.317,0.516,1.239,20.752,-43.457,-60.425
-0.320,0.495,1.120,21.606,-45.837,-58.777
-0.329,0.447,1.054,27.954,-43.579,-58.167
-0.343,0.432,1.003,33.997,-39.001,-59.326
-0.356,0.428,0.949,41.504,-35.156,-61.035
-0.375,0.440,0.896,49.194,-32.410,-62.073
-0.387,0.463,0.860,54.688,-30.518,-61.279
-0.401,0.468,0.846,56.274,-30.334,-57.251
-0.403,0.452,0.821,53.711,-32.715,-50.781
-0.409,0.430,0.762,47.852,-37.476,-42.664
-0.412,0.408,0.680,41.870,-41.504,-34.546
-0.409,0.378,0.608,36.133,-42.969,-27.100
-0.391,0.344,0.570,29.907,-40.771,-20.203
-0.371,0.298,0.551,23.621,-36.682,-14.099
-0.349,0.271,0.535,19.409,-31.128,-10.437
-0.323,0.252,0.531,20.569,-24.658,-9.949
-0.290,0.238,0.566,26.062,-16.357,-11.414
-0.257,0.239,0.635,31.738,-8.484,-13.000
-0.225,0.242,0.707,32.349,-3.662,-13.489
-0.203,0.242,0.764,29.663,-2.686,-12.024
-0.181,0.239,0.792,24.414,-4.395,-9.277
-0.167,0.232,0.802,18.127,-7.385,-5.615
-0.159,0.214,0.798,12.939,-10.132,-2.136
-0.150,0.187,0.771,8.972,-12.268,0.244
-0.145,0.189,0.753,5.798,-12.939,1.892
-0.138,0.177,0.748,2.441,-12.146,3.357
-0.127,0.174,0.746,-0.732,-10.010,4.028
-0.119,0.177,0.756,-2.502,-6.958,3.662
-0.123,0.180,0.771,-3.662,-3.540,2.258
-0.114,0.203,0.786,-2.686,0.000,0.977
