aX,aY,aZ,gX,gY,gZ
-0.133,-0.139,1.001,3.296,3.967,2.686
-0.131,-0.120,0.991,0.244,1.160,4.028
-0.138,-0.128,0.962,-3.784,-1.282,6.104
-0.144,-0.150,0.939,-7.996,-2.747,8.057

0.273,0.110,2.262,107.788,68.176,6.165
0.317,0.013,2.341,121.216,64.697,0.305
0.316,-0.006,2.332,132.385,52.612,-8.301
0.307,0.065,2.220,139.282,35.461,-17.639
0.309,0.112,2.035,143.127,16.052,-22.644
0.333,0.125,1.830,143.005,0.061,-24.963
0.339,0.096,1.625,138.245,-12.695,-25.330
0.354,0.036,1.444,130.493,-23.193,-25.452
0.328,-0.016,1.263,120.789,-31.982,-27.466
0.280,-0.026,1.039,110.962,-39.124,-31.555
0.260,-0.000,0.838,105.164,-39.795,-36.926
0.224,0.055,0.651,102.600,-35.461,-41.626
0.205,0.112,0.505,97.412,-28.015,-44.556
0.230,0.121,0.523,92.468,-16.052,-45.654
0.239,0.065,0.673,93.445,-6.348,-47.791
0.275,-0.023,0.741,109.009,-5.554,-52.063
0.300,-0.068,0.671,126.709,-14.282,-59.326
0.299,-0.006,0.509,133.789,-26.672,-69.397
0.291,0.071,0.379,132.202,-35.767,-77.637
0.281,0.156,0.299,127.136,-40.222,-82.153
0.267,0.191,0.222,121.704,-43.945,-83.130
0.243,0.260,0.155,114.624,-47.668,-82.153
0.218,0.312,0.111,108.093,-50.476,-77.087
0.166,0.345,0.045,95.947,-54.932,-70.251
0.128,0.384,-0.017,75.623,-62.622,-60.730
0.115,0.330,-0.136,60.120,-69.153,-49.438
0.110,0.243,-0.212,49.744,-73.547,-38.818
0.094,0.150,-0.276,42.175,-73.364,-32.288
0.105,0.035,-0.349,43.823,-68.115,-28.625
0.108,-0.047,-0.437,47.424,-61.951,-28.992
0.080,-0.056,-0.500,47.546,-53.528,-32.349
0.049,-0.012,-0.505,42.908,-40.955,-36.499
0.004,0.076,-0.488,36.133,-27.954,-38.330
-0.031,0.158,-0.497,29.236,-19.958,-34.424
-0.063,0.168,-0.518,21.057,-13.611,-24.231
-0.065,0.083,-0.527,10.193,-5.737,-11.597
-0.043,-0.023,-0.492,-4.395,2.808,-1.770
-0.013,-0.156,-0.451,-16.663,11.597,4.822
0.033,-0.291,-0.385,-23.682,20.569,8.118
0.067,-0.375,-0.276,-28.320,28.870,6.531
0.096,-0.370,-0.186,-33.203,34.241,0.122
0.089,-0.319,-0.113,-39.429,37.415,-7.874
0.042,-0.223,-0.066,-47.974,38.696,-15.015
-0.031,-0.071,-0.031,-57.739,39.734,-18.799
-0.071,0.031,-0.022,-65.247,41.565,-17.273
-0.100,0.039,-0.007,-73.486,44.312,-8.667
-0.072,-0.083,0.082,-84.839,52.246,-0.488
-0.000,-0.244,0.276,-99.792,60.791,5.188
0.021,-0.415,0.499,-112.427,60.913,2.625
0.041,-0.517,0.667,-114.685,56.885,-8.179
0.051,-0.484,0.689,-107.056,48.828,-27.039
-0.013,-0.182,0.617,-96.375,40.588,-49.500
-0.208,0.222,0.657,-85.876,43.640,-64.148
-0.341,0.605,0.842,-82.153,57.678,-64.819
-0.467,0.744,1.203,-86.975,71.106,-47.974
-0.516,0.668,1.625,-107.910,73.120,-24.414
-0.510,0.428,1.936,-139.954,54.626,-2.136
-0.476,0.162,2.048,-175.476,22.278,12.085
-0.438,-0.080,2.048,-196.594,-11.047,15.503
-0.500,-0.153,1.868,-194.946,-38.696,8.240
-0.634,-0.065,1.595,-175.598,-51.697,-3.296
-0.638,-0.028,1.449,-147.766,-47.180,-14.465
-0.707,-0.003,1.500,-125.305,-31.311,-23.682
-0.802,0.115,1.574,-109.253,-13.000,-30.151
-0.854,0.232,1.694,-95.886,1.648,-29.602
-0.909,0.371,1.917,-89.539,13.611,-24.475
-0.966,0.495,2.131,-85.632,16.479,-13.733
-0.973,0.514,2.366,-80.505,13.733,1.526
-0.978,0.468,2.417,-74.707,4.150,17.212
-0.982,0.583,2.356,-63.293,-3.723,33.020
-0.894,0.417,2.332,-44.434,-0.183,50.415
-0.825,0.277,2.265,-32.654,2.563,60.242
-0.741,0.094,2.223,-15.259,9.583,64.270
-0.649,0.018,2.226,1.953,16.052,62.866
-0.564,0.013,2.297,17.944,22.949,58.594
-0.480,0.001,2.364,36.133,29.053,54.382
-0.384,0.018,2.381,53.589,31.250,49.011
-0.326,0.150,2.366,67.871,28.259,42.664
-0.283,0.313,2.327,80.566,20.996,41.687
-0.253,0.378,2.250,86.914,8.850,49.133
-0.211,0.336,2.172,83.557,-7.446,61.523
-0.190,0.229,2.014,74.402,-29.907,73.792
-0.177,0.073,1.781,62.500,-49.438,82.947
-0.075,-0.046,1.570,50.415,-59.937,84.717
-0.072,-0.127,1.358,38.818,-67.261,79.468
-0.005,-0.097,1.175,32.410,-67.810,68.115
0.024,-0.002,1.049,34.790,-61.768,57.495
