aX,aY,aZ,gX,gY,gZ
-0.053,-0.099,0.412,9.644,28.931,75.806
0.052,-0.120,0.462,15.137,37.231,69.092
0.124,-0.134,0.548,24.719,46.753,62.561
0.189,-0.114,0.647,32.959,54.382,55.420
0.230,-0.095,0.735,36.804,57.922,50.293
0.248,-0.059,0.813,33.569,57.678,47.485
0.267,-0.048,0.883,26.306,54.626,47.058
0.280,-0.060,0.911,14.221,47.180,48.340
0.258,-0.094,0.916,2.014,38.391,49.744
0.285,-0.144,0.925,-4.272,32.959,50.232
0.292,-0.193,0.954,-6.775,30.701,48.645
0.313,-0.211,0.974,-6.531,29.175,44.067
0.337,-0.210,1.002,-1.770,29.053,37.659
0.360,-0.214,1.040,5.859,30.579,30.457
0.371,-0.201,1.059,12.695,30.884,22.888
0.360,-0.152,1.082,18.066,30.029,15.381
0.322,-0.083,1.135,21.423,29.236,9.521
0.294,-0.035,1.193,21.790,26.611,7.507
0.266,-0.020,1.228,17.883,19.592,10.010
0.240,-0.081,1.233,8.667,8.972,15.381
0.206,-0.138,1.193,-3.174,-2.930,19.775

0.665,0.781,1.653,-106.140,29.724,-40.588
0.686,1.016,1.870,-103.699,38.025,-44.983
0.734,0.903,2.119,-93.201,41.992,-44.556
0.740,0.818,2.286,-82.397,32.227,-49.500
0.631,0.707,2.347,-73.975,4.395,-52.429
0.531,0.653,2.232,-74.951,-25.024,-54.260
0.412,0.620,2.084,-77.209,-45.898,-56.580
0.283,0.654,1.954,-74.524,-53.101,-63.049
0.205,0.728,1.827,-59.509,-50.171,-73.608
0.168,0.808,1.757,-36.560,-40.833,-84.961
0.124,0.910,1.792,-16.235,-28.259,-96.375
0.107,0.991,1.833,-2.441,-20.874,-105.042
0.010,1.053,1.909,6.470,-21.179,-108.276
-0.093,1.077,2.000,19.409,-23.376,-109.436
-0.169,1.003,1.999,29.053,-32.043,-105.713
-0.313,0.850,2.019,32.227,-43.823,-100.281
-0.400,0.779,2.056,35.461,-53.650,-99.976
-0.462,0.814,1.992,45.166,-66.406,-102.783
-0.515,0.909,1.834,58.167,-78.735,-105.591
-0.564,0.985,1.681,68.115,-85.632,-104.980
-0.627,1.057,1.532,75.623,-88.684,-100.586
-0.679,1.119,1.416,82.092,-89.661,-93.018
-0.776,1.225,1.287,86.609,-91.614,-82.703
-0.854,1.233,1.164,89.905,-92.957,-65.613
-0.909,1.150,1.048,88.379,-93.384,-45.044
-0.964,0.997,0.952,81.909,-95.337,-26.306
-1.007,0.823,0.797,77.332,-98.145,-13.123
-1.116,0.671,0.609,85.754,-99.548,-8.850
-1.172,0.608,0.329,104.004,-98.450,-11.658
-1.236,0.697,0.041,124.634,-90.027,-17.212
-1.269,0.850,-0.118,142.029,-70.313,-19.226
-1.207,1.013,-0.170,150.574,-43.396,-12.634
-1.131,1.047,-0.136,148.621,-18.738,4.150
-1.016,0.966,-0.062,131.897,-1.953,26.672
-0.879,0.825,0.035,107.361,8.606,49.133
-0.757,0.661,0.122,85.449,14.648,68.481
-0.634,0.511,0.160,68.848,15.381,82.520
-0.532,0.391,0.173,59.570,14.282,91.003
-0.447,0.300,0.186,55.664,13.550,94.910
-0.360,0.241,0.172,54.688,12.329,95.703
-0.267,0.204,0.116,53.223,9.705,94.177
-0.160,0.181,0.105,50.049,10.193,91.797
-0.016,0.191,0.110,45.288,14.832,89.050
0.068,0.230,0.066,39.978,19.348,87.708
0.164,0.266,0.077,28.564,26.550,87.524
0.275,0.293,0.174,12.512,37.354,88.562
0.382,0.258,0.324,-0.732,47.607,91.431
0.512,0.166,0.441,-11.658,52.490,94.666
0.655,0.072,0.496,-21.851,50.171,94.116
0.789,0.001,0.494,-29.724,45.959,87.524
0.903,-0.009,0.467,-31.433,45.593,75.562
0.982,-0.010,0.515,-27.466,54.871,61.279
1.042,-0.021,0.641,-20.203,70.190,45.898
1.082,-0.008,0.776,-11.353,83.435,32.288
1.130,-0.033,0.927,-5.188,92.712,22.705
1.190,-0.070,1.101,-8.057,97.595,16.907
1.243,-0.117,1.291,-19.287,95.032,11.902
1.269,-0.161,1.449,-31.555,84.656,5.493
1.257,-0.228,1.554,-37.781,69.214,-2.258
1.227,-0.278,1.587,-39.001,50.598,-13.916
1.142,-0.308,1.584,-35.217,32.104,-27.161
1.045,-0.283,1.511,-30.457,15.137,-41.199
0.906,-0.226,1.392,-24.902,2.075,-53.711
0.774,-0.169,1.276,-19.775,-4.211,-63.965
0.651,-0.087,1.212,-16.846,-5.188,-74.646
0.531,0.010,1.224,-14.404,-3.479,-84.351
0.401,0.095,1.246,-13.000,-3.052,-92.896
0.281,0.208,1.276,-13.428,-4.822,-98.267
0.171,0.310,1.298,-13.672,-6.714,-101.135
0.080,0.372,1.329,-10.132,-8.057,-101.929
0.010,0.394,1.349,-5.066,-7.751,-101.318
-0.005,0.388,1.428,-0.488,-7.507,-100.525
-0.069,0.387,1.474,3.235,-12.024,-99.182
-0.134,0.401,1.423,3.967,-19.592,-97.107
-0.250,0.430,1.383,2.075,-25.208,-93.994
-0.362,0.425,1.441,-4.639,-24.841,-88.684
-0.428,0.335,1.575,-14.282,-26.733,-80.872
-0.494,0.361,1.750,-16.663,-31.799,-77.698
-0.548,0.438,1.862,-9.277,-41.260,-78.918
-0.612,0.544,1.828,3.601,-57.373,-81.238
-0.703,0.692,1.642,19.043,-76.111,-83.679
-0.792,0.885,1.394,36.438,-89.722,-84.351
-0.880,1.077,1.133,54.382,-94.299,-79.712
-0.965,1.202,0.917,68.420,-90.637,-68.359
-1.024,1.224,0.813,74.890,-79.834,-51.147
-1.034,1.114,0.786,75.989,-66.345,-28.381
-1.011,0.941,0.786,71.106,-57.556,-5.798
-0.958,0.750,0.773,60.059,-53.345,14.160
-0.885,0.598,0.704,48.035,-52.979,29.785
-0.831,0.509,0.619,42.297,-52.124,39.490
-0.749,0.447,0.554,43.213,-47.058,44.739
-0.687,0.436,0.538,48.584,-39.734,47.058
-0.593,0.422,0.556,56.641,-30.579,48.828
-0.508,0.387,0.608,64.636,-21.790,52.246
-0.456,0.330,0.650,66.650,-17.090,57.495
-0.410,0.269,0.655,62.927,-16.663,64.026
-0.365,0.204,0.601,57.617,-19.531,71.289
-0.328,0.143,0.487,48.340,-23.926,78.186
-0.299,0.085,0.356,34.363,-26.245,83.557
-0.259,0.004,0.268,20.203,-22.705,87.402
-0.234,-0.065,0.227,10.132,-15.076,87.341
-0.154,-0.058,0.200,4.028,-5.432,81.543
-0.167,-0.003,0.226,7.080,5.981,72.266
-0.130,0.044,0.303,18.250,22.278,62.500
-0.046,0.095,0.452,33.142,39.978,55.115
0.011,0.083,0.599,46.936,51.575,50.964
0.085,0.057,0.685,55.420,55.359,49.377
0.167,0.037,0.701,56.702,53.589,49.500
0.222,0.032,0.687,49.255,49.500,50.232
0.261,0.031,0.665,35.522,46.326,51.636
0.306,0.025,0.655,21.545,45.044,52.673
0.339,0.012,0.702,11.902,47.241,53.162
0.372,-0.035,0.813,8.728,51.819,52.551
0.396,-0.064,0.933,9.033,54.016,50.293
0.408,-0.078,1.049,10.986,52.673,47.668
0.426,-0.085,1.140,13.489,48.096,45.105
0.423,-0.089,1.181,16.296,39.551,43.091
0.423,-0.131,1.179,17.395,28.748,42.725
0.417,-0.201,1.124,14.648,16.968,43.396

0.853,0.664,1.767,-83.679,60.547,-42.542
0.893,0.843,1.993,-38.635,59.631,-60.974
0.869,0.969,2.103,-12.146,49.072,-67.078
0.717,1.001,2.410,-19.287,27.649,-56.091
0.609,0.968,2.349,-55.603,-11.658,-31.555
0.570,0.878,2.077,-104.370,-50.476,-2.014
0.486,0.775,1.760,-139.099,-68.909,19.104
0.498,0.540,1.703,-145.264,-65.430,27.588
0.522,0.437,1.622,-133.728,-61.584,18.494
0.605,0.402,1.589,-110.291,-54.565,1.953
0.647,0.441,1.716,-87.769,-41.443,-20.203
0.654,0.501,1.874,-63.416,-32.104,-41.443
0.577,0.526,1.901,-41.504,-34.363,-57.007
0.459,0.550,1.908,-31.982,-40.588,-65.674
0.299,0.604,1.888,-34.668,-50.537,-68.298
0.191,0.686,1.762,-41.870,-64.819,-66.895
0.074,0.711,1.600,-47.852,-76.294,-62.256
-0.006,0.709,1.470,-54.688,-78.552,-59.082
-0.077,0.654,1.348,-54.993,-74.829,-58.960
-0.141,0.594,1.232,-47.302,-67.261,-64.026
-0.223,0.569,1.209,-34.485,-53.833,-73.792
-0.285,0.535,1.358,-15.442,-35.400,-85.449
-0.364,0.526,1.624,3.357,-20.264,-96.130
-0.435,0.610,1.928,16.357,-17.029,-105.530
-0.522,0.796,2.112,25.452,-26.611,-111.694
-0.612,0.995,2.116,31.250,-46.570,-112.183
-0.706,1.171,1.964,34.668,-70.435,-106.506
-0.764,1.275,1.748,36.377,-88.074,-92.407
-0.813,1.304,1.527,36.255,-98.022,-73.853
-0.822,1.224,1.355,38.269,-99.426,-53.711
-0.837,1.115,1.208,39.063,-96.558,-35.828
-0.835,1.027,1.058,42.847,-93.079,-22.583
-0.842,0.962,0.949,52.185,-86.975,-13.733
-0.826,0.931,0.908,63.477,-77.759,-7.751
-0.835,0.923,0.953,75.500,-68.542,-3.235
-0.862,0.888,1.008,89.966,-62.134,0.488
-0.882,0.839,0.992,103.516,-62.439,5.798
-0.897,0.822,0.842,110.229,-69.214,12.817
-0.889,0.814,0.604,109.192,-75.562,21.545
-0.888,0.796,0.392,104.309,-74.402,30.762
-0.834,0.739,0.236,97.412,-65.247,38.330
-0.824,0.662,0.124,92.896,-51.819,43.396
-0.782,0.631,0.061,94.666,-34.973,44.861
-0.750,0.624,0.085,98.328,-15.686,45.471
-0.722,0.619,0.184,96.130,-0.854,48.340
-0.700,0.631,0.266,86.670,5.798,54.321
-0.674,0.665,0.294,74.219,4.578,62.256
-0.658,0.696,0.230,62.378,-1.404,72.693
-0.601,0.679,0.095,50.537,-7.202,85.876
-0.544,0.608,-0.039,37.964,-10.132,99.060
-0.449,0.504,-0.122,28.320,-6.958,109.802
-0.309,0.379,-0.217,22.156,0.793,116.760
-0.221,0.257,-0.318,17.639,13.733,118.713
